neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
38.8546,3.5846,174.1337,2.6048,38.8546,0.037,0.8687,1.3301,TLF,Forward Lean,1
15.7916,1.2188,172.4292,2.1306,15.7916,0.0537,0.9968,1.2753,TLF,Forward Lean,1
25.1247,1.458,178.0802,2.7065,25.1247,0.0595,0.8864,0.3452,TLF,Forward Lean,1
21.9037,1.7452,177.3379,2.4803,21.9037,0.0597,0.8713,0.5057,TLF,Forward Lean,1
18.2214,2.0512,179.6185,2.0585,18.2214,0.0672,0.8149,0.074,TLF,Forward Lean,1
30.6079,3.508,178.0869,2.1824,30.6079,0.0455,0.7067,0.3404,TLF,Forward Lean,1
23.5948,3.4441,177.3914,2.0842,23.5948,0.0582,0.7063,0.4735,TLF,Forward Lean,1
28.3823,3.3083,174.3968,2.6483,28.3823,0.0684,0.6774,0.9695,TLF,Forward Lean,1
27.4927,2.1034,174.8097,2.5879,27.4927,0.0682,0.7381,0.9043,TLF,Forward Lean,1
17.986,1.4441,176.2193,1.8749,17.986,0.0764,0.7857,0.6325,TLF,Forward Lean,1
82.0246,4.2938,175.6516,2.7403,82.0246,0.028,0.6667,0.9204,TLF,Forward Lean,1
109.456,3.3364,176.3906,2.7233,109.456,0.0283,0.7423,0.8481,TLF,Forward Lean,1
164.5877,7.6346,171.9008,0.4494,164.5877,0.0353,0.7424,2.2075,TLF,Forward Lean,1
130.1467,6.5855,171.9526,1.1471,130.1467,0.0172,0.7785,2.1096,TLF,Forward Lean,1
93.7514,5.387,174.2397,3.5673,93.7514,0.0362,0.7988,1.4872,TLF,Forward Lean,1
41.3245,3.41,175.5871,3.4176,41.3245,0.0477,0.8605,1.0603,TLF,Forward Lean,1
19.8038,2.486,178.7531,2.8691,19.8038,0.0799,0.8565,0.2526,TLF,Forward Lean,1
19.365,1.4029,178.7792,2.7881,19.365,0.0793,0.8996,0.1982,TLF,Forward Lean,1
55.2227,1.6499,179.0383,2.761,55.2227,0.0332,0.8794,0.1616,TLF,Forward Lean,1
34.4833,1.8005,179.1582,2.7268,34.4833,0.0472,0.8604,0.1429,TLF,Forward Lean,1
12.0625,2.4431,177.1789,2.1086,12.0625,0.0821,0.8099,0.3167,TLF,Forward Lean,1
75.5886,3.8617,177.7694,2.2047,75.5886,0.0226,0.7631,0.4494,TLF,Forward Lean,1
97.1703,3.3669,177.9141,2.436,97.1703,0.0247,0.7954,0.4348,TLF,Forward Lean,1
14.8561,2.4546,177.7083,2.5431,14.8561,0.0863,0.8343,0.4114,TLF,Forward Lean,1
19.0484,2.3219,176.6619,2.2577,19.0484,0.0593,0.8541,0.6062,TLF,Forward Lean,1
27.529,1.9666,176.2699,2.2067,27.529,0.0425,0.8892,0.7265,TLF,Forward Lean,1
170.4937,4.5153,176.777,0.8203,170.4937,0.0749,0.8816,1.774,TLF,Forward Lean,1
176.5809,4.1777,179.8285,-0.5361,176.5809,0.0946,0.9025,0.1333,TLF,Forward Lean,1
179.4166,4.8997,179.4211,0.0007,179.4166,0.0862,0.8907,0.4601,TLF,Forward Lean,1
178.5615,3.9544,179.5253,0.1614,178.5615,0.0959,0.9132,0.3712,TLF,Forward Lean,1
178.8773,3.6648,179.4922,0.1016,178.8773,0.0946,0.9191,0.3955,TLF,Forward Lean,1
169.6093,3.8775,177.8546,1.5235,169.6093,0.1062,0.9269,1.549,TLF,Forward Lean,1
169.7766,4.1169,177.8661,1.473,169.7766,0.1047,0.9217,1.5513,TLF,Forward Lean,1
170.7045,4.3104,177.9079,1.3138,170.7045,0.1048,0.9177,1.5333,TLF,Forward Lean,1
171.3412,4.26,177.9091,1.1918,171.3412,0.1042,0.9187,1.5347,TLF,Forward Lean,1
172.0577,4.1328,177.9107,1.0437,172.0577,0.1024,0.9212,1.5353,TLF,Forward Lean,1
